what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348897687804
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1348897695872
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348897695890
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348897705225
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.rename.element",1348897714055
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348897714076
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348897737727
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348897738396
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1348897739357
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1348897741549
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348897743054
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348897743124
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348897743335
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348897744299
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348897744336
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348897747370
opened,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1348897749473
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1348897749520
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1348897776929
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348897778283
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348897779028
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348897779176
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348897782114
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348897782140
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348897784750
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348897786385
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348897921076
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348897921846
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348897922056
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348897931926
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.window.preferences",1348897982694
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348897982738
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1348897987504
closed,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1348897987504
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1348897992428
closed,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1348897992428
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1348897994645
closed,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1348897994645
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1348897997733
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348897998536
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348897999155
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348897999181
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348898083385
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348898084429
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348898088095
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348898088193
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348898089000
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348898089184
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348898089210
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348898089346
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348898283453
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348898283592
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348898286267
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348898288614
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348898317227
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348898323407
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348898330886
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348898330934
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348898352635
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348898353916
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348898361104
